token,ru
stat/Health/name,Прочность
stat/Speed/name,Скорость
stat/Damage/name,Мощь
stat/Hold/name,Трюм
stat/AttackRange/name,Дальнобойность
stat/Cannons/name,Орудия
stat/Health/desc,Запас здоровья корабля
stat/Speed/desc,Скорость передвижения корабля
stat/Damage/desc,Наносимый врагам Урон
stat/Hold/desc,Грузоподъемность корабля
stat/AttackRange/desc,Дальность стрельбы корабля
stat/Cannons/desc,Количество орудий на корабле
quests/Tutorial/quest_Boss,Впиши сообщения для квеста
quests/Level1/quest_01,Затопи вшивую шлюпку
quests/Level1/quest_02,Нужно больше весел!
quests/Level1/quest_03,Нужно больше весел!
quests/Level1/quest_Boss,Неподалеку встал имперский фрегат. Он портит весь бизнес. Затопи его! Я в долгу не останусь!
quests/Level2/quest_01,Впиши сообщения для квеста
quests/Level2/quest_02,Впиши сообщения для квеста
quests/Level2/quest_03,Впиши сообщения для квеста
quests/Level2/quest_Boss,Впиши сообщения для квеста
quests/Level3/quest_01,Впиши сообщения для квеста
quests/Level3/quest_02,Впиши сообщения для квеста
quests/Level3/quest_03,Впиши сообщения для квеста
quests/Level3/quest_Boss,Впиши сообщения для квеста
quests/CompleteMessage,Теперь я могу спать спокойно! Вот твоя награда. Берешь?
quests/ProgressLabel,Потоплено
quests/OK,Ага
Interactables/UpgradePlace,Пристань
Misc/thousandToken,т
Misc/millionToken,м
UI/ConfirmWindow/button,Подтвердить
UI/ConfirmWindow/header,Подтвердить покупку?
UI/Shop/GameItemHeader,РЕСУРСЫ
UI/Shop/InAppItemHeader,ПРЕДЛОЖЕНИЯ
UI/Death,Ваша лодка пошла ко дну... Угнать новый корабль?
Anonymous,Аноним
Leaderboard/Name,Игрок
Leaderboard/Rank,Место
Leaderboard/Score,Потоплено
Leaderboard/AuthorizationText,Для просмотра таблицы лидеров нужно авторизоваться
Leaderboard/AuthorizationButton,Авторизоваться
UI/NextLevel/CanPass,Теперь мы можем спокойно пройти через рифы. Хотите отправиться дальше?
UI/NextLevel/CanNotPass,Впереди опасные рифы! Без карты сразу же разобъемся! Возвращайтесь с картой.
UI/NextLevel/EndGame,Поздравляем вас с прохождением игры! Приплывайте к нас в следующих обновлениях!
Tutorial/MoveTip,Используй кнопки WSAD для передвижения
Tutorial/MoveTipMobile,Управляйте своим кораблем просто двигая пальцем по дисплею.
Tutorial/PirateBay,Сдай награбленное и обнови корабль в бухте
Tutorial/Attack,Добыча! Подплывай ближе! Твоя команда все сделает сама!
Tutorial/NextLevel,Стоит поискать карту у местных...
Tutorial/HoldTip,Тут можно сдать награбленное
Tutorial/HealTip,Тут можно подлатать корабль
